audio_feature,t,p,degrees_of_freedom
acousticness,-13.669338778418956,3.353772487250514e-39,1026.0
danceability,7.842835547730484,1.1003781506457099e-14,1026.0
energy,15.568684918198315,3.197652471700454e-49,1026.0
instrumentalness,3.0891453384652734,0.002061349023260015,1026.0
key,-0.6719366359563552,0.5017753077922427,1026.0
liveness,2.6300602352390237,0.008664792592943185,1026.0
loudness,12.523180650727056,1.3858493587683078e-33,1026.0
speechiness,2.815672361155874,0.004960749531772067,1026.0
tempo,0.4517920115441222,0.6515143141995223,1026.0
valence,1.1434182531087023,0.25313169354121845,1026.0
